id,host_id,host_since,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
5692910,29514625,3/17/15,f,1,2,t,District 2,32.77722,-96.79086,Entire loft,Entire home/apt,2,2.5,1,1,$325.0,5,1125,5,5,1125,1125,5,1125,t,27,54,84,359,176,0,0,4/27/15,3/22/21,4.94,4.96,4.93,4.96,4.98,4.89,4.93,f,1,1,0,0,1.64
6017390,31234076,4/14/15,f,1,1,t,District 14,32.82947873,-96.77051146,Entire loft,Entire home/apt,2,1,1,1,$147.0,30,180,30,30,1125,1125,30,1125,t,30,60,90,365,0,0,0,,,,,,,,,,f,1,1,0,0,
6291070,484119371,10/18/22,f,1,1,t,District 2,32.81832,-96.78003,Entire home,Entire home/apt,6,3,3,3,$258.0,1,1125,2,3,1125,1125,2.9,1125,t,6,22,52,52,23,13,0,10/22/22,12/26/23,4.87,4.87,5,4.87,5,4.96,5,f,1,1,0,0,1.41
6488857,32135472,4/28/15,f,1,1,t,District 9,32.84383,-96.67262,Entire home,Entire home/apt,8,3,4,4,$185.0,1,1125,1,1,1125,1125,1,1125,t,28,53,83,173,5,1,0,10/2/22,7/6/23,3.6,4.2,3.8,4.2,4,4.4,3.8,f,1,1,0,0,0.29
6913752,20618407,8/27/14,t,11,13,t,District 12,32.99496,-96.84095,Entire condo,Entire home/apt,5,2,2,5,$89.0,30,365,30,30,365,365,30,365,t,0,13,43,43,38,3,0,10/28/15,10/22/23,4.89,4.84,4.82,4.97,4.95,4.92,4.84,f,7,7,0,0,0.38
7047741,36887133,6/27/15,t,2,2,t,District 9,32.80841,-96.71194,Entire guesthouse,Entire home/apt,2,1,1,1,$85.0,3,180,3,3,1125,1125,3,1125,t,13,26,32,263,541,37,3,7/3/15,2/19/24,4.96,4.98,4.96,4.99,4.99,4.96,4.94,t,2,2,0,0,5.14
7258293,37999128,7/9/15,t,1,3,t,District 5,32.76849,-96.69209,Entire cottage,Entire home/apt,4,1,1,2,$45.0,30,365,30,30,365,365,30,365,t,30,60,90,180,222,3,0,7/26/15,12/27/23,4.86,4.83,4.77,4.92,4.98,4.6,4.85,f,1,1,0,0,2.13
7601082,3527030,9/10/12,t,1,2,t,District 1,32.74994,-96.83263,Entire guest suite,Entire home/apt,6,2,3,4,$175.0,2,1125,2,2,1125,1125,2,1125,t,17,41,66,341,165,7,0,8/9/15,11/26/23,4.88,4.94,4.78,4.96,4.94,4.95,4.84,f,1,1,0,0,1.59
7627921,40014595,7/30/15,t,2,2,t,District 13,32.92284,-96.81189,Private room in home,Private room,1,1,1,1,$46.0,30,90,30,30,90,90,30,90,t,0,27,57,57,33,1,0,4/3/16,5/1/23,5,4.94,5,4.97,5,4.97,5,f,1,0,1,0,0.34
7715777,24407447,12/2/14,t,21,26,t,District 10,32.89686,-96.73039,Entire home,Entire home/apt,16,5.5,5,9,$427.0,2,365,2,3,1125,1125,2,1125,t,1,1,1,1,252,31,1,8/10/15,2/5/24,4.86,4.88,4.84,4.94,4.91,4.83,4.76,f,14,14,0,0,2.42
7966111,42032525,8/20/15,f,1,1,t,District 3,32.6916453,-96.9281838,Entire home,Entire home/apt,6,2,3,3,$169.0,3,365,3,3,1125,1125,3,1125,t,28,54,84,292,11,8,0,11/5/22,11/11/23,4.82,4.91,4.73,4.73,4.91,4.27,4.73,f,1,1,0,0,0.69
